#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan Vlkman-001-LA-082_S9_L001_R1_001.fastq.gz,Vlkman-001-LA-082_S9_L001_R2_001.fastq.gz --bowtie2out Vlkman-001-LA-082_S9_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o Vlkman-001-LA-082_S9_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8390854
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.97386	8390854
k__Bacteria|p__Firmicutes	2|1239	86.92413	2.585	7291069
k__Bacteria|p__Bacteroidetes	2|976	5.39459	0.16043	558078
k__Bacteria|p__Actinobacteria	2|201174	3.8841	0.11551	257577
k__Bacteria|p__Verrucomicrobia	2|74201	2.0746	0.0617	172045
k__Bacteria|p__Proteobacteria	2|1224	0.77968	0.02319	57350
k__Bacteria|p__Bacteria_unclassified	2|	0.7293	0.02169	39759
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.21361	0.00635	14976
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	73.39382	2.18263	6215604
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.83491	0.11404	439067
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	2.99447	0.08905	287285
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.20827	0.06567	148346
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.1538	0.06405	163914
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.09196	0.06221	151391
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.0746	0.0617	172045
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.67583	0.04984	109231
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.51818	0.04515	96966
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	1.44471	0.04296	132165
k__Bacteria|p__Bacteroidetes|c__CFGB635	2|976|	0.89693	0.02667	66928
k__Bacteria|p__Firmicutes|c__CFGB1670	2|1239|	0.39903	0.01187	0
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.39573	0.01177	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.37554	0.01117	32271
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.33357	0.00992	17084
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.32551	0.00968	25111
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.18595	0.00553	12356
k__Bacteria|p__Firmicutes|c__CFGB76352	2|1239|	0.18345	0.00546	12281
k__Bacteria|p__Bacteroidetes|c__CFGB11479	2|976|	0.16755	0.00498	15378
k__Bacteria|p__Bacteroidetes|c__CFGB2107	2|976|	0.12725	0.00378	0
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.10698	0.00318	8372
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.09731	0.00289	6364
k__Bacteria|p__Bacteroidetes|c__CFGB642	2|976|	0.09617	0.00286	8258
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.09295	0.00276	6788
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.08681	0.00258	8023
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.08636	0.00257	6394
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.06707	0.00199	4494
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.06416	0.00191	0
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.05228	0.00155	3794
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.03445	0.00102	3283
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.02221	0.00066	1262
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.02201	0.00065	1950
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.02081	0.00062	1659
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.01457	0.00043	898
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.01156	0.00034	1096
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.01083	0.00032	781
k__Bacteria|p__Firmicutes|c__CFGB1814	2|1239|	0.00407	0.00012	543
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	72.12968	2.14503	6123468
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.83491	0.11404	439067
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	2.99447	0.08905	287285
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.1538	0.06405	163914
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	2.0746	0.0617	172045
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.01448	0.05991	127519
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.76178	0.05239	128720
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	1.5927	0.04736	103305
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.51818	0.04515	96966
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	1.44471	0.04296	132165
k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635	2|976||	0.89693	0.02667	66928
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.86378	0.02569	61140
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.40037	0.01191	30996
k__Bacteria|p__Firmicutes|c__CFGB1670|o__OFGB1670	2|1239||	0.39903	0.01187	0
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	2|201174||	0.39573	0.01177	0
