#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan Vlkman-002-BG-013_S45_L001_R1_001.fastq.gz,Vlkman-002-BG-013_S45_L001_R2_001.fastq.gz --bowtie2out Vlkman-002-BG-013_S45_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o Vlkman-002-BG-013_S45_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8917818
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.98216	2.97314	8916603
k__Archaea	2157	0.01784	0.00053	1215
k__Bacteria|p__Firmicutes	2|1239	72.4618	2.15477	6141319
k__Bacteria|p__Bacteroidetes	2|976	13.49298	0.40124	1671264
k__Bacteria|p__Verrucomicrobia	2|74201	6.83311	0.20319	566629
k__Bacteria|p__Actinobacteria	2|201174	4.71309	0.14015	313431
k__Bacteria|p__Proteobacteria	2|1224	2.25094	0.06694	212169
k__Bacteria|p__Bacteria_unclassified	2|	0.23024	0.00685	11791
k__Archaea|p__Thaumarchaeota	2157|651137	0.01784	0.00053	1215
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	57.35684	1.7056	5052709
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	13.15955	0.39132	1645759
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	6.83311	0.20319	566629
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	5.29704	0.15752	349407
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.37596	0.07065	156234
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.33713	0.0695	157197
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.3357	0.06946	165385
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.89707	0.02668	79491
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.79251	0.02357	114947
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.73419	0.02183	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.5804	0.01726	33374
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.57953	0.01723	45340
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.44739	0.0133	29895
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.39561	0.01176	30443
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.31282	0.0093	21781
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.30591	0.0091	24084
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.26319	0.00783	20456
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.23024	0.00685	11791
k__Bacteria|p__Firmicutes|c__CFGB1670	2|1239|	0.21594	0.00642	0
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.20669	0.00615	13016
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.12151	0.00361	8179
k__Bacteria|p__Firmicutes|c__CFGB15212	2|1239|	0.11779	0.0035	6327
k__Bacteria|p__Verrucomicrobia|c__CFGB59108	2|74201|	0.07511	0.00223	0
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.07409	0.0022	6716
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.0654	0.00194	5469
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.04204	0.00125	2868
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.03463	0.00103	2216
k__Bacteria|p__Firmicutes|c__CFGB76779	2|1239|	0.03321	0.00099	3273
k__Bacteria|p__Firmicutes|c__CFGB1422	2|1239|	0.02973	0.00088	3138
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.02885	0.00086	2226
k__Bacteria|p__Bacteroidetes|c__CFGB658	2|976|	0.02764	0.00082	3017
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.01784	0.00053	1215
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.01751	0.00052	1291
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.0159	0.00047	1176
k__Bacteria|p__Bacteroidetes|c__CFGB635	2|976|	0.01475	0.00044	1166
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.0109	0.00032	1184
k__Bacteria|p__Firmicutes|c__CFGB2915	2|1239|	0.00888	0.00026	854
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00326	0.0001	171
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.00239	7e-05	175
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.00117	3e-05	91
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.00045	1e-05	39
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	56.9905	1.69471	5024811
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	13.15955	0.39132	1645759
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	6.83311	0.20319	566629
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	5.29704	0.15752	349407
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.3357	0.06946	165385
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	2.03222	0.06043	134625
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.97415	0.0587	125645
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	0.89707	0.02668	79491
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.79251	0.02357	114947
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2|1224||	0.73419	0.02183	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.5804	0.01726	33374
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.57953	0.01723	45340
k__Bacteria|p__Firmicutes|c__CFGB2960|o__OFGB2960	2|1239||	0.44739	0.0133	29895
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.40181	0.01195	30589
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.39561	0.01176	30443
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.31282	0.0093	21781
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359	2|1239||	0.30591	0.0091	24084
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.26319	0.00783	20456
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.26202	0.00779	19829
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.23024	0.00685	11791
k__Bacteria|p__Firmicutes|c__CFGB1670|o__OFGB1670	2|1239||	0.21594	0.00642	0
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	0.20669	0.00615	13016
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.12151	0.00361	8179
k__Bacteria|p__Firmicutes|c__CFGB15212|o__OFGB15212	2|1239||	0.11779	0.0035	6327
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.10432	0.0031	8069
k__Bacteria|p__Verrucomicrobia|c__CFGB59108|o__OFGB59108	2|74201||	0.07511	0.00223	0
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.07409	0.0022	6716
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.0654	0.00194	5469
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.03985	0.00119	2736
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	2|1239||	0.03463	0.00103	2216
k__Bacteria|p__Firmicutes|c__CFGB76779|o__OFGB76779	2|1239||	0.03321	0.00099	3273
k__Bacteria|p__Firmicutes|c__CFGB1422|o__OFGB1422	2|1239||	0.02973	0.00088	3138
k__Bacteria|p__Firmicutes|c__CFGB2985|o__OFGB2985	2|1239||	0.02885	0.00086	2226
k__Bacteria|p__Bacteroidetes|c__CFGB658|o__OFGB658	2|976||	0.02764	0.00082	3017
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales	2157|651137||31932	0.01784	0.00053	1215
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.01751	0.00052	1291
k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126	2|1239||	0.0159	0.00047	1176
k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635	2|976||	0.01475	0.00044	1166
k__Bacteria|p__Firmicutes|c__CFGB72924|o__OFGB72924	2|1239||	0.0109	0.00032	1184
k__Bacteria|p__Firmicutes|c__CFGB2915|o__OFGB2915	2|1239||	0.00888	0.00026	854
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.00326	0.0001	171
k__Bacteria|p__Firmicutes|c__CFGB40183|o__OFGB40183	2|1239||	0.00239	7e-05	175
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.00219	7e-05	132
k__Bacteria|p__Firmicutes|c__CFGB2918|o__OFGB2918	2|1239||	0.00117	3e-05	91
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004	2|1239||	0.00045	1e-05	39
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	25.97823	0.77251	2579592
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	21.64074	0.64352	1607711
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	7.2331	0.21509	1070729
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	6.83311	0.20319	566629
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	5.98243	0.1779	505831
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982	2|1239|||	5.29704	0.15752	349407
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	2.45538	0.07301	186620
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	2.03222	0.06043	134625
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.97415	0.0587	125645
