#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan Vlkman-004-BT-012_S90_L001_R1_001.fastq.gz,Vlkman-004-BT-012_S90_L001_R2_001.fastq.gz --bowtie2out Vlkman-004-BT-012_S90_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o Vlkman-004-BT-012_S90_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:7599964
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	93.22453	2.51375	7281394
k__Archaea	2157	6.77547	0.1827	318570
k__Bacteria|p__Firmicutes	2|1239	49.95824	1.3471	3483722
k__Bacteria|p__Bacteroidetes	2|976	23.48101	0.63315	2320617
k__Bacteria|p__Verrucomicrobia	2|74201	16.79981	0.453	1263235
k__Archaea|p__Euryarchaeota	2157|28890	6.77547	0.1827	318570
k__Bacteria|p__Actinobacteria	2|201174	1.64969	0.04448	120706
k__Bacteria|p__Bacteria_unclassified	2|	0.76271	0.02057	38991
k__Bacteria|p__Proteobacteria	2|1224	0.57207	0.01543	54056
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.001	3e-05	67
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	38.37518	1.03477	2727078
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	23.48101	0.63315	2320617
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	16.79981	0.453	1263235
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	6.77547	0.1827	318570
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	4.30018	0.11595	229294
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.70249	0.04591	112388
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	1.65852	0.04472	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.63982	0.04422	120078
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.16504	0.03141	84756
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.80862	0.0218	50343
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.6475	0.01746	0
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.5961	0.01607	46046
k__Bacteria|p__Firmicutes|c__CFGB2979	2|1239|	0.43693	0.01178	26547
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.31717	0.00855	29857
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.17551	0.00473	10366
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.14328	0.00386	8956
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.12704	0.00343	13196
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.12382	0.00334	10699
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.11521	0.00311	5350
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.11307	0.00305	6851
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.0521	0.0014	3601
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.04973	0.00134	2793
k__Bacteria|p__Firmicutes|c__CFGB3002	2|1239|	0.02616	0.00071	1668
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.01856	0.0005	1037
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.0183	0.00049	1425
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.01818	0.00049	1401
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.00987	0.00027	628
k__Bacteria|p__Firmicutes|c__CFGB76533	2|1239|	0.00966	0.00026	571
k__Bacteria|p__Firmicutes|c__CFGB2950	2|1239|	0.00801	0.00022	565
k__Bacteria|p__Firmicutes|c__CFGB2863	2|1239|	0.00775	0.00021	646
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.00466	0.00013	313
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00404	0.00011	304
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.00169	5e-05	110
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.00102	3e-05	64
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.001	3e-05	67
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	37.4695	1.01034	2662570
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	23.48101	0.63315	2320617
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	16.79981	0.453	1263235
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	6.77547	0.1827	318570
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	4.30018	0.11595	229294
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.70249	0.04591	112388
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2|1224||	1.65852	0.04472	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.16504	0.03141	84756
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.02749	0.02771	67674
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.90172	0.02431	64232
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.80862	0.0218	50343
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	2|201174||	0.6475	0.01746	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.61233	0.01651	52404
