#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan Vlkman-005-SP-022_S121_L001_R1_001.fastq.gz,Vlkman-005-SP-022_S121_L001_R2_001.fastq.gz --bowtie2out Vlkman-005-SP-022_S121_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o Vlkman-005-SP-022_S121_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:6701093
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.86142	6701093
k__Bacteria|p__Actinobacteria	2|201174	68.24869	1.95288	4171030
k__Bacteria|p__Firmicutes	2|1239	29.58163	0.84645	2261697
k__Bacteria|p__Proteobacteria	2|1224	1.94493	0.05565	239325
k__Bacteria|p__Bacteroidetes	2|976	0.22476	0.00643	29041
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	61.64473	1.76391	3764662
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	16.26802	0.4655	1419971
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	8.67119	0.24812	549035
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.60395	0.18897	406368
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.53276	0.10109	221526
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.94408	0.05563	239231
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.10965	0.03175	71165
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.22476	0.00643	29041
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00084	2e-05	94
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	61.60905	1.76289	3762385
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	15.90803	0.4552	1395757
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	6.94632	0.19876	439048
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	6.47838	0.18537	394621
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	3.53276	0.10109	221526
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	1.36501	0.03906	206444
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.30964	0.03747	84411
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.10965	0.03175	71165
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.57908	0.01657	32787
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.41523	0.01188	25576
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.35999	0.0103	24214
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.22476	0.00643	29041
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.12558	0.00359	11747
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.00084	2e-05	94
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	61.60905	1.76289	3762385
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	12.86112	0.36801	1162022
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2|1239|909932|909929|1843491	6.94632	0.19876	439048
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	6.14582	0.17586	372825
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	3.53276	0.10109	221526
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	1.36501	0.03906	206444
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	1.30964	0.03747	84411
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	1.04267	0.02984	72175
