#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan Vlkman-006-SW-006_S158_L001_R1_001.fastq.gz,Vlkman-006-SW-006_S158_L001_R2_001.fastq.gz --bowtie2out Vlkman-006-SW-006_S158_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o Vlkman-006-SW-006_S158_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2893063
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.02734	2893063
k__Bacteria|p__Firmicutes	2|1239	83.5678	0.85853	2200824
k__Bacteria|p__Bacteroidetes	2|976	13.15788	0.13518	614589
k__Bacteria|p__Actinobacteria	2|201174	1.50138	0.01542	36478
k__Bacteria|p__Proteobacteria	2|1224	1.23758	0.01271	28310
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.53536	0.0055	12862
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	63.50135	0.65238	1700034
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	13.15788	0.13518	614589
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	6.57896	0.06759	151261
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	5.57015	0.05722	165353
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.49466	0.02563	59257
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.85964	0.00883	21437
k__Bacteria|p__Firmicutes|c__CFGB76782	2|1239|	0.7607	0.00782	24255
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.72893	0.00749	14454
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.64174	0.00659	15041
k__Bacteria|p__Bacteroidetes|c__CFGB2107	2|976|	0.53536	0.0055	0
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.47573	0.00489	13338
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.30586	0.00314	7970
k__Bacteria|p__Firmicutes|c__CFGB2880	2|1239|	0.28779	0.00296	6051
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.11098	0.00114	2946
k__Bacteria|p__Firmicutes|c__CFGB76352	2|1239|	0.09421	0.00097	2178
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.0923	0.00095	2072
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.09181	0.00094	2940
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.08954	0.00092	1979
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.06086	0.00063	1294
k__Bacteria|p__Firmicutes|c__CFGB76102	2|1239|	0.05909	0.00061	1826
k__Bacteria|p__Firmicutes|c__CFGB9238	2|1239|	0.01257	0.00013	387
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	53.13369	0.54587	1424714
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	13.15788	0.13518	614589
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	9.72196	0.09988	258883
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	5.57015	0.05722	165353
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	4.52013	0.04644	106308
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.49466	0.02563	59257
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.05883	0.02115	44953
k__Bacteria|p__Firmicutes|c__CFGB76782|o__OFGB76782	2|1239||	0.7607	0.00782	24255
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.72893	0.00749	14454
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.6457	0.00663	16437
k__Bacteria|p__Bacteroidetes|c__CFGB2107|o__OFGB2107	2|976||	0.53536	0.0055	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.43861	0.00451	10591
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.31556	0.00324	9515
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2|1224|1236|2887326	0.30586	0.00314	7970
k__Bacteria|p__Firmicutes|c__CFGB2880|o__OFGB2880	2|1239||	0.28779	0.00296	6051
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.20312	0.00209	4450
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.14048	0.00144	3421
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.11098	0.00114	2946
k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352	2|1239||	0.09421	0.00097	2178
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.0923	0.00095	2072
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	2|1239||	0.08954	0.00092	1979
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.08338	0.00086	2771
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.06086	0.00063	1294
k__Bacteria|p__Firmicutes|c__CFGB76102|o__OFGB76102	2|1239||	0.05909	0.00061	1826
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.0197	0.0002	402
k__Bacteria|p__Firmicutes|c__CFGB9238|o__OFGB9238	2|1239||	0.01257	0.00013	387
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2|1224|28211|204455	0.00843	9e-05	169
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.00687	7e-05	182
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.00396	4e-05	87
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	27.46466	0.28216	666232
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	17.73624	0.18221	536200
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	11.12094	0.11425	542513
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	8.26322	0.08489	219683
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	5.84266	0.06002	162980
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	5.57015	0.05722	165353
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	4.52013	0.04644	106308
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	2.49466	0.02563	59257
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	1.73746	0.01785	49275
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	1.60579	0.0165	35466
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified	2|1239|186801|186802|	1.45874	0.01499	39200
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	0.98252	0.01009	27326
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	2|201174|1760|85007|1653	0.84881	0.00872	21168
k__Bacteria|p__Firmicutes|c__CFGB76782|o__OFGB76782|f__FGB76782	2|1239|||	0.7607	0.00782	24255
