#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan Vlkman-007-AU-009_S244_L001_R1_001.fastq.gz,Vlkman-007-AU-009_S244_L001_R2_001.fastq.gz --bowtie2out Vlkman-007-AU-009_S244_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o Vlkman-007-AU-009_S244_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4642820
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.39878	1.53525	4626628
k__Archaea	2157	0.60122	0.00929	16192
k__Bacteria|p__Firmicutes	2|1239	62.30569	0.96233	2435980
k__Bacteria|p__Bacteroidetes	2|976	27.91365	0.43114	1682965
k__Bacteria|p__Proteobacteria	2|1224	4.62819	0.07148	338401
k__Bacteria|p__Actinobacteria	2|201174	2.9449	0.04549	101316
k__Bacteria|p__Verrucomicrobia	2|74201	1.51472	0.0234	65240
k__Archaea|p__Euryarchaeota	2157|28890	0.60122	0.00929	16192
k__Bacteria|p__Bacteria_unclassified	2|	0.09163	0.00142	2726
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	42.6328	0.65848	1777279
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	27.43781	0.42379	1663868
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	16.65655	0.25727	526258
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	3.97238	0.06135	314260
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.51472	0.0234	65240
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.05436	0.01629	39742
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.62806	0.0097	23351
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.60122	0.00929	16192
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.54421	0.00841	20117
k__Bacteria|p__Firmicutes|c__CFGB4529	2|1239|	0.54044	0.00835	33353
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.4741	0.00732	14091
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.34495	0.00533	16389
k__Bacteria|p__Firmicutes|c__CFGB1670	2|1239|	0.20011	0.00309	0
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.1811	0.0028	6204
