#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan Vlkman-UCLA017_S266_L001_R1_001.fastq.gz,Vlkman-UCLA017_S266_L001_R2_001.fastq.gz --bowtie2out Vlkman-UCLA017_S266_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o Vlkman-UCLA017_S266_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:5134763
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.98256	1.7436	5134067
k__Archaea	2157	0.01744	0.0003	696
k__Bacteria|p__Firmicutes	2|1239	70.63246	1.23176	3474685
k__Bacteria|p__Bacteroidetes	2|976	13.64011	0.23787	1031134
k__Bacteria|p__Actinobacteria	2|201174	13.59559	0.23709	525450
k__Bacteria|p__Verrucomicrobia	2|74201	1.60232	0.02794	77922
k__Bacteria|p__Proteobacteria	2|1224	0.51207	0.00893	24876
k__Archaea|p__Thaumarchaeota	2157|651137	0.01744	0.0003	696
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	59.39826	1.03585	2979501
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	13.64011	0.23787	1031134
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	9.36555	0.16333	359563
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.21019	0.07342	160760
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	4.10066	0.07151	161462
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	2.86554	0.04997	154306
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.09968	0.03662	77666
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.61704	0.0282	81641
